ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2009-12-01,20736.52545072,35262.734039612325,67319.3243400693,20736.52545072,20736.52545072,1.5066659312516648,1.5066659312516648,1.5066659312516648,0.3766444188820223,0.3766444188820223,0.3766444188820223,1.1300215123696427,1.1300215123696427,1.1300215123696427,0.0,0.0,0.0,51979.541879852906
2009-12-02,20747.25862101029,33558.140401713004,64777.414734320584,20747.25862101029,20747.25862101029,1.4066920466526114,1.4066920466526114,1.4066920466526114,0.26533535929779367,0.26533535929779367,0.26533535929779367,1.1413566873548178,1.1413566873548178,1.1413566873548178,0.0,0.0,0.0,49932.26231303028
2009-12-03,20757.991791300577,40634.72431672197,72274.82236579891,20757.991791300577,20757.991791300577,1.7187293610983694,1.7187293610983694,1.7187293610983694,0.5756706200014458,0.5756706200014458,0.5756706200014458,1.1430587410969235,1.1430587410969235,1.1430587410969235,0.0,0.0,0.0,56435.36176044782
2009-12-04,20768.72496159087,31087.085419012838,62870.63312390857,20768.72496159087,20768.72496159087,1.2913621822578523,1.2913621822578523,1.2913621822578523,0.15701118389387392,0.15701118389387392,0.15701118389387392,1.1343509983639783,1.1343509983639783,1.1343509983639783,0.0,0.0,0.0,47588.670950703985
2009-12-05,20779.458131881158,-78.8808432864871,30930.285604366312,20779.458131881158,20779.458131881158,-0.2593320289381154,-0.2593320289381154,-0.2593320289381154,-1.3739838421999269,-1.3739838421999269,-1.3739838421999269,1.1146518132618115,1.1146518132618115,1.1146518132618115,0.0,0.0,0.0,15390.679094305797
2009-12-06,20790.191302171446,21566.12562084577,53616.51582963726,20790.191302171446,20790.191302171446,0.8316107808844065,0.8316107808844065,0.8316107808844065,-0.2519847938131007,-0.2519847938131007,-0.2519847938131007,1.0835955746975072,1.0835955746975072,1.0835955746975072,0.0,0.0,0.0,38079.53852570644
2009-12-07,20800.924472461735,31531.917476770584,63366.105701082386,20800.924472461735,20800.924472461735,1.292355692318103,1.292355692318103,1.292355692318103,0.25130705394285613,0.25130705394285613,0.25130705394285613,1.0410486383752469,1.0410486383752469,1.0410486383752469,0.0,0.0,0.0,47683.11761992659
2009-12-08,20811.657642752027,33063.51110535066,65394.00433005379,20811.657642752027,20811.657642752027,1.363764085363042,1.363764085363042,1.363764085363042,0.3766444188830872,0.3766444188830872,0.3766444188830872,0.9871196664799549,0.9871196664799549,0.9871196664799549,0.0,0.0,0.0,49193.8488928085
2009-12-09,20822.39081304231,29762.38201766175,62303.97997805691,20822.39081304231,20822.39081304231,1.1874993607809354,1.1874993607809354,1.1874993607809354,0.26533535929857555,0.26533535929857555,0.26533535929857555,0.92216400148236,0.92216400148236,0.92216400148236,0.0,0.0,0.0,45548.966593460886
2009-12-10,20833.1239833326,34386.73509936922,66119.75868445182,20833.1239833326,20833.1239833326,1.422452477621623,1.422452477621623,1.422452477621623,0.5756706199992967,0.5756706199992967,0.5756706199992967,0.846781857622326,0.846781857622326,0.846781857622326,0.0,0.0,0.0,50467.25281002251
2009-12-11,20843.857153622892,24414.738825553413,56264.695203366085,20843.857153622892,20843.857153622892,0.9188214622186928,0.9188214622186928,0.9188214622186928,0.15701118389315183,0.15701118389315183,0.15701118389315183,0.7618102783255408,0.7618102783255408,0.7618102783255408,0.0,0.0,0.0,39995.64046179224
2009-12-13,20865.32349420347,11525.930424607286,42871.79249620231,20865.32349420347,20865.32349420347,0.3155555392478258,0.3155555392478258,0.3155555392478258,-0.2519847938123015,-0.2519847938123015,-0.2519847938123015,0.5675403330601273,0.5675403330601273,0.5675403330601273,0.0,0.0,0.0,27449.49190099717
2009-12-14,20876.056664493757,20352.185204447567,52406.02182906947,20876.056664493757,20876.056664493757,0.7122510699042651,0.7122510699042651,0.7122510699042651,0.2513070539421596,0.2513070539421596,0.2513070539421596,0.46094401596210555,0.46094401596210555,0.46094401596210555,0.0,0.0,0.0,35745.050359161505
2009-12-15,20886.78983478405,19654.795763193702,52421.507882319806,20886.78983478405,20886.78983478405,0.7267511960063475,0.7267511960063475,0.7267511960063475,0.3766444188832147,0.3766444188832147,0.3766444188832147,0.35010677712313276,0.35010677712313276,0.35010677712313276,0.0,0.0,0.0,36066.28932794658
2009-12-16,20897.523005074338,15608.723503489593,47831.63805288678,20897.523005074338,20897.523005074338,0.5020635457911141,0.5020635457911141,0.5020635457911141,0.2653353592984212,0.2653353592984212,0.2653353592984212,0.23672818649269292,0.23672818649269292,0.23672818649269292,0.0,0.0,0.0,31389.40750325334
2009-12-17,20908.256175364626,19209.24617994494,51318.56825838925,20908.256175364626,20908.256175364626,0.6982537439888367,0.6982537439888367,0.6982537439888367,0.5756706199988754,0.5756706199988754,0.5756706199988754,0.12258312398996135,0.12258312398996135,0.12258312398996135,0.0,0.0,0.0,35507.52433009069
2009-12-18,20918.989345654914,7175.19434787879,40601.56747578188,20918.989345654914,20918.989345654914,0.166493154494203,0.166493154494203,0.166493154494203,0.15701118389242968,0.15701118389242968,0.15701118389242968,0.009481970601773332,0.009481970601773332,0.009481970601773332,0.0,0.0,0.0,24401.857870643624
2009-12-20,20940.455686235495,-3837.6846718260276,27608.662981837122,20940.455686235495,20940.455686235495,-0.45840127078016496,-0.45840127078016496,-0.45840127078016496,-0.25198479381150224,-0.25198479381150224,-0.25198479381150224,-0.20641647696866272,-0.20641647696866272,-0.20641647696866272,0.0,0.0,0.0,11341.324188949411
2009-12-21,20951.188856525783,4154.397025571594,36044.713928189565,20951.188856525783,20951.188856525783,-0.0544786226385397,-0.0544786226385397,-0.0544786226385397,0.2513070539432228,0.2513070539432228,0.2513070539432228,-0.3057856765817625,-0.3057856765817625,-0.3057856765817625,0.0,0.0,0.0,19809.79694498234
2009-12-22,20961.92202681607,3903.381978020428,37418.55890634939,20961.92202681607,20961.92202681607,-0.020689616703462962,-0.020689616703462962,-0.020689616703462962,0.37664441888250916,0.37664441888250916,0.37664441888250916,-0.39733403558597213,-0.39733403558597213,-0.39733403558597213,0.0,0.0,0.0,20528.22789471337
2009-12-23,20972.65518905815,1074.7246988344825,31330.253235290507,20972.65518905815,20972.65518905815,-0.2143442074259923,-0.2143442074259923,-0.2143442074259923,0.2653353592972619,0.2653353592972619,0.2653353592972619,-0.4796795667232542,-0.4796795667232542,-0.4796795667232542,0.0,0.0,0.0,16477.28803494086
2010-01-04,21101.453135963067,-1831.5813975917852,30247.583913814873,21101.453135963067,21101.453135963067,-0.3136620868411125,-0.3136620868411125,-0.3136620868411125,0.2513070539430785,0.2513070539430785,0.2513070539430785,-0.564969140784191,-0.564969140784191,-0.564969140784191,0.0,0.0,0.0,14482.727309956954
2010-01-05,21112.186298205143,2643.6564235927226,34448.25216012748,21112.186298205143,21112.186298205143,-0.13318071449345745,-0.13318071449345745,-0.13318071449345745,0.3766444188828686,0.3766444188828686,0.3766444188828686,-0.5098251333763261,-0.5098251333763261,-0.5098251333763261,0.0,0.0,0.0,18300.4502424912
